,positions
593485,"(74, 87, 80, 91)"
593489,"(67, 87, 43, 71)"
593499,"(58, 66, 75, 78)"
593501,"(65, 67, 63, 38)"
593503,"(63, 38, 69, 43)"
593525,"(66, 35, 71, 22)"
593532,"(74, 62, 90, 60)"
593544,"(78, 85, 0, 0)"
593560,"(36, 57, 34, 60)"
593576,"(59, 73, 70, 66)"
593612,"(42, 62, 36, 57)"
593618,"(37, 69, 41, 66)"
593632,"(45, 44, 41, 24)"
593634,"(47, 25, 59, 5)"
593679,"(44, 43, 35, 33)"
593682,"(45, 40, 37, 33)"
593726,"(72, 56, 69, 88)"
593729,"(69, 66, 61, 63)"
593757,"(66, 59, 54, 63)"
593759,"(58, 57, 57, 35)"
593795,"(54, 60, 60, 59)"
593797,"(60, 59, 57, 61)"
593804,"(68, 58, 56, 45)"
593816,"(61, 61, 92, 41)"
593873,"(88, 21, 88, 4)"
593875,"(79, 13, 74, 35)"
593905,"(34, 54, 28, 48)"
593952,"(46, 95, 48, 96)"
593953,"(48, 96, 50, 92)"
593961,"(69, 71, 63, 60)"
594016,"(43, 33, 36, 27)"
594019,"(42, 33, 37, 35)"
594038,"(53, 74, 58, 66)"
594043,"(52, 71, 46, 49)"
594048,"(58, 56, 66, 23)"
594052,"(73, 26, 90, 27)"
594142,"(62, 45, 67, 12)"
594155,"(75, 26, 94, 58)"
594202,"(53, 30, 54, 46)"
594221,"(58, 60, 54, 84)"
594223,"(60, 57, 75, 59)"
594227,"(74, 51, 75, 29)"
594245,"(35, 37, 37, 63)"
594257,"(61, 57, 69, 33)"
594263,"(74, 43, 73, 100)"
594271,"(69, 48, 77, 44)"
594278,"(92, 61, 93, 77)"
594295,"(66, 65, 67, 65)"
594303,"(86, 93, 83, 93)"
594313,"(54, 95, 52, 91)"
594314,"(52, 91, 52, 72)"
594316,"(52, 65, 73, 50)"
594326,"(70, 36, 68, 52)"
594333,"(80, 44, 73, 42)"
594432,"(47, 46, 46, 37)"
594434,"(46, 37, 46, 26)"
594442,"(54, 50, 54, 80)"
594492,"(58, 40, 69, 55)"
594494,"(65, 40, 70, 57)"
594497,"(67, 40, 76, 43)"
594500,"(81, 38, 75, 30)"
594531,"(86, 49, 87, 45)"
594533,"(87, 45, 0, 0)"
594561,"(75, 64, 81, 62)"
594577,"(64, 67, 70, 54)"
594616,"(46, 66, 42, 67)"
594619,"(42, 70, 33, 66)"
594642,"(73, 47, 79, 33)"
594645,"(75, 30, 75, 29)"
594649,"(68, 7, 48, 4)"
594681,"(73, 43, 68, 40)"
594687,"(76, 49, 80, 40)"
594689,"(80, 40, 80, 38)"
594691,"(80, 40, 0, 0)"
594693,"(64, 79, 55, 99)"
594703,"(67, 75, 67, 71)"
594781,"(36, 31, 33, 26)"
594842,"(89, 37, 0, 0)"
594852,"(100, 0, 97, 47)"
594897,"(74, 62, 76, 76)"
594935,"(47, 48, 54, 49)"
594960,"(65, 70, 60, 83)"
594994,"(50, 60, 53, 54)"
595041,"(89, 72, 89, 69)"
595042,"(89, 69, 0, 0)"
595049,"(66, 77, 66, 73)"
595050,"(66, 73, 70, 95)"
595053,"(84, 76, 96, 72)"
595055,"(96, 72, 0, 0)"
595106,"(44, 83, 36, 93)"
595131,"(44, 8, 63, 42)"
595225,"(39, 47, 46, 57)"
